timestamp,frame_num,mode,obj_count,obj_classes,avg_confidence,avg_depth_m,cpu_power_w,gpu_power_w,inst_power_w,frame_power_mj,pixel_power_uj,total_energy_wh,peak_power_w,energy_per_frame_mj,energy_per_object_mj,fps_per_watt,objects_per_joule,yolo_efficiency,frame_latency_ms,capture_ms,preprocess_ms,yolo_ms,track_ms,render_ms,bottleneck_stage,fps,fps_stability_std,dropped_frames,cpu_pct,gpu_pct,ram_mb,gpu_mb,motion_detected,tracking_stability_pct
2026-05-09 20:35:51,1,rgb,0,—,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.08,24.72,4.45,0.0,0.0,7.72,capture,0.0,0.0,0,0.0,0.0,0.0,0.0,0,100.0
2026-05-09 20:35:52,22,rgb,1,person,0.573,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2059.78,1000.0,0.045,47.1,12.1,3.73,22.2,0.08,8.86,yolo,20.6,6.05,0,0.0,0.0,0.0,0.0,0,100.0
2026-05-09 20:35:53,49,rgb,1,person,0.584,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2698.54,1000.0,0.052,40.14,9.56,3.56,19.19,0.08,7.63,yolo,27.0,1.68,0,0.0,0.0,418.7,19.0,0,100.0
2026-05-09 20:35:54,76,rgb,1,person,0.598,0,36.54,0.0,36.54,1284.381,4.1809,0.006365,36.54,1284.381,1284.381,0.73,0.8,0.06,35.15,8.28,3.36,16.73,0.08,6.58,yolo,26.7,0.08,0,81.2,0.0,418.7,19.0,0,0.0
2026-05-09 20:35:55,102,rgb,1,person,0.609,0,34.34,0.0,34.34,1209.798,3.9381,0.01517,36.54,1209.798,1209.798,0.76,0.8,0.059,35.23,8.28,3.24,17.03,0.08,6.49,yolo,26.0,0.13,0,76.3,0.0,419.5,19.0,0,100.0
2026-05-09 20:35:56,131,rgb,1,person,0.618,0,33.52,0.0,33.52,1160.798,3.7786,0.024745,36.54,1160.798,1160.798,0.86,0.9,0.06,34.63,8.34,3.16,16.55,0.08,6.38,yolo,29.0,0.55,0,74.5,0.0,419.8,19.0,0,100.0
2026-05-09 20:35:57,159,rgb,1,person,0.632,0,32.94,0.0,32.94,1111.066,3.6168,0.033737,36.54,1111.066,1111.066,0.81,0.9,0.064,33.73,8.38,3.18,15.58,0.08,6.38,yolo,26.7,0.43,0,73.2,0.0,419.8,19.0,0,100.0
2026-05-09 20:35:58,188,rgb,1,person,0.623,0,32.58,0.0,32.58,1091.43,3.5528,0.042617,36.54,1091.43,1091.43,0.89,0.9,0.064,33.5,8.28,3.2,15.53,0.08,6.28,yolo,28.9,0.4,0,72.4,0.0,419.8,19.0,0,100.0
2026-05-09 20:35:59,216,rgb,1,person,0.619,0,32.36,0.0,32.36,1086.002,3.5352,0.051097,36.54,1086.002,1086.002,0.82,0.9,0.064,33.56,8.19,3.22,15.53,0.08,6.41,yolo,26.6,0.43,0,71.9,0.0,419.9,19.0,0,100.0
2026-05-09 20:36:00,245,rgb,1,person,0.609,0,32.89,0.0,32.89,1109.051,3.6102,0.059878,36.54,1109.051,1109.051,0.88,0.9,0.064,33.72,8.11,3.26,15.62,0.08,6.51,yolo,29.0,0.44,0,73.1,0.0,419.9,19.0,0,100.0
2026-05-09 20:36:01,273,rgb,1,person,0.624,0,31.82,0.0,31.82,1075.834,3.5021,0.068457,36.54,1075.834,1075.834,0.84,0.9,0.064,33.81,8.34,3.24,15.62,0.08,6.41,yolo,26.7,0.43,0,70.7,0.0,419.9,19.0,0,100.0
2026-05-09 20:36:02,302,rgb,1,person,0.638,0,32.36,0.0,32.36,1103.152,3.591,0.077144,36.54,1103.152,1103.152,0.88,0.9,0.064,34.09,8.7,3.26,15.56,0.08,6.38,yolo,28.4,0.31,0,71.9,0.0,419.9,19.0,0,0.0
2026-05-09 20:36:03,330,rgb,1,person,0.637,0,33.44,0.0,33.44,1142.645,3.7195,0.085743,36.54,1142.645,1142.645,0.85,0.9,0.064,34.17,8.65,3.26,15.67,0.08,6.38,yolo,28.4,0.0,0,74.3,0.0,419.9,19.0,0,0.0
2026-05-09 20:36:04,357,rgb,1,person,0.621,0,33.44,0.0,33.44,1223.235,3.9819,0.094406,36.54,1223.235,1223.235,0.74,0.8,0.059,36.58,8.99,3.49,17.08,0.09,6.79,yolo,24.7,0.51,0,74.3,0.0,419.9,19.0,0,0.0
2026-05-09 20:36:05,375,rgb,1,person,0.614,0,36.0,0.0,36.0,1534.32,4.9945,0.101469,36.54,1534.32,1534.32,0.47,0.7,0.049,42.62,9.99,4.18,20.25,0.1,7.96,yolo,16.8,1.81,0,80.0,0.0,420.0,19.0,0,100.0
2026-05-09 20:36:06,393,rgb,2,cat|person|person,0.622,0,36.09,0.0,36.09,1770.575,5.7636,0.109752,36.54,1770.575,885.288,0.46,1.1,0.085,49.06,11.1,4.83,23.6,0.11,9.24,yolo,16.7,0.02,0,80.2,0.0,420.1,19.0,1,100.0
2026-05-09 20:36:07,413,rgb,0,cat|person|dog|person|person,0.594,0,36.09,0.0,36.09,1990.364,6.479,0.120286,36.54,1990.364,1990.364,0.54,0.0,0.0,55.15,11.76,5.41,26.93,0.13,10.69,yolo,19.5,0.61,0,80.2,0.0,420.1,19.0,1,100.0
2026-05-09 20:36:08,430,rgb,1,person|cat|person,0.569,0,34.16,0.0,34.16,1874.018,6.1003,0.129332,36.54,1874.018,1874.018,0.49,0.5,0.037,54.86,11.27,5.3,27.01,0.15,10.88,yolo,16.6,0.68,0,75.9,0.0,420.2,19.0,1,100.0
2026-05-09 20:36:09,450,rgb,1,tie|person|person,0.54,0,36.36,0.0,36.36,1953.259,6.3583,0.139673,36.54,1953.259,1953.259,0.51,0.5,0.037,53.72,9.93,5.19,27.23,0.15,10.95,yolo,18.4,0.39,0,80.8,0.0,420.8,19.0,1,100.0
