timestamp,frame_num,mode,obj_count,obj_classes,avg_confidence,avg_depth_m,cpu_power_w,gpu_power_w,inst_power_w,frame_power_mj,pixel_power_uj,total_energy_wh,peak_power_w,energy_per_frame_mj,energy_per_object_mj,fps_per_watt,objects_per_joule,yolo_efficiency,frame_latency_ms,capture_ms,preprocess_ms,yolo_ms,track_ms,render_ms,bottleneck_stage,fps,fps_stability_std,dropped_frames,cpu_pct,gpu_pct,ram_mb,gpu_mb,motion_detected,tracking_stability_pct
2026-06-09 08:21:43,1,rgb,0,—,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.53,27.23,82.54,0.0,0.0,18.85,preprocess,0.0,0.0,0,0.0,0.0,0.0,0.0,0,100.0
2026-06-09 08:21:48,3,rgb,1,person,0.471,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.53,1000.0,0.001,1577.52,14.07,30.22,1519.02,0.07,12.29,yolo,0.6,0.3,0,0.0,0.0,0.0,0.0,0,0.0
2026-06-09 08:21:49,30,rgb,0,dog|person|cat|dog|person,0.529,0,0.0,3.0,3.0,570.99,1.8587,0.000159,3.0,570.99,570.99,0.21,0.0,0.0,190.33,8.63,7.87,162.41,0.21,10.63,yolo,0.6,0.0,0,0.0,5.0,1128.7,141.0,1,100.0
2026-06-09 08:21:50,60,rgb,0,cat|person,0.503,0,40.95,3.0,43.95,4920.203,16.0163,0.004954,43.95,4920.203,4920.203,0.66,0.0,0.0,111.95,8.88,6.41,86.25,0.14,9.83,yolo,29.0,0.61,0,91.0,5.0,1128.7,141.0,1,100.0
2026-06-09 08:21:51,90,rgb,0,cat|cat|person|person,0.49,0,42.79,3.0,45.79,1526.639,4.9695,0.019245,45.79,1526.639,1526.639,0.59,0.0,0.0,33.34,10.63,4.64,9.4,0.08,8.32,capture,27.0,0.68,0,95.1,5.0,1128.7,141.0,1,100.0
2026-06-09 08:21:52,120,rgb,1,person,0.465,0,32.76,3.0,35.76,1191.523,3.8787,0.031827,45.79,1191.523,1191.523,0.8,0.8,0.112,33.32,11.98,4.33,8.91,0.08,7.77,capture,28.4,0.52,0,72.8,5.0,1128.7,141.0,1,100.0
2026-06-09 08:21:53,150,rgb,0,person,0.418,0,38.97,3.0,41.97,1406.415,4.5782,0.041815,45.79,1406.415,1406.415,0.65,0.0,0.0,33.51,11.81,4.44,9.14,0.11,7.76,capture,27.2,0.51,0,86.6,5.0,1128.7,141.0,1,100.0
2026-06-09 08:21:54,180,rgb,1,person,0.401,0,40.23,3.0,43.23,1447.34,4.7114,0.053526,45.79,1447.34,1447.34,0.62,0.7,0.11,33.48,12.12,4.48,9.06,0.1,7.46,capture,26.6,0.28,0,89.4,5.0,1128.7,141.0,1,100.0
2026-06-09 08:21:55,210,rgb,0,person,0.373,0,30.78,3.0,33.78,1127.239,3.6694,0.065492,45.79,1127.239,1127.239,0.85,0.0,0.0,33.37,12.24,4.48,8.82,0.06,7.54,capture,28.7,1.01,0,68.4,5.0,1128.7,141.0,1,100.0
2026-06-09 08:21:56,240,rgb,1,person,0.366,0,23.27,13.2,36.47,1225.027,3.9877,0.074962,45.79,1225.027,1225.027,0.74,0.8,0.106,33.59,10.7,4.66,9.4,0.05,8.56,capture,26.9,0.89,0,51.7,22.0,1128.7,141.0,1,0.0
2026-06-09 08:21:58,270,rgb,0,person,0.363,0,23.0,14.4,37.39,1266.399,4.1224,0.085245,45.79,1266.399,1266.399,0.76,0.0,0.0,33.87,9.45,4.69,10.48,0.05,8.99,yolo,28.4,0.75,0,51.1,24.0,1128.7,141.0,1,100.0
2026-06-09 08:21:59,294,rgb,1,person,0.362,0,23.0,14.4,37.39,1383.056,4.5021,0.093941,45.79,1383.056,1383.056,0.69,0.7,0.076,36.99,10.41,4.45,13.09,0.04,8.8,yolo,25.9,1.25,0,51.1,24.0,1128.7,141.0,1,0.0
2026-06-09 08:22:00,317,rgb,0,person,0.36,0,18.32,23.4,41.72,1686.322,5.4893,0.104042,45.79,1686.322,1686.322,0.51,0.0,0.0,40.42,11.0,4.44,15.79,0.02,8.97,yolo,21.1,2.4,0,40.7,39.0,1128.7,141.0,0,100.0
2026-06-09 08:22:01,338,rgb,0,person,0.359,0,18.32,24.6,42.91,1892.331,6.1599,0.114521,45.79,1892.331,1892.331,0.52,0.0,0.0,44.1,12.6,4.37,18.06,0.02,8.86,yolo,22.5,0.69,0,40.7,41.0,1128.7,141.0,0,100.0
2026-06-09 08:22:02,360,rgb,0,dog|person,0.355,0,12.24,20.4,32.64,1443.014,4.6973,0.125991,45.79,1443.014,1443.014,0.63,0.0,0.0,44.21,13.02,4.38,17.99,0.03,8.62,yolo,20.7,0.9,0,27.2,34.0,1128.7,141.0,0,100.0
