timestamp,frame_num,mode,obj_count,obj_classes,avg_confidence,avg_depth_m,cpu_power_w,gpu_power_w,inst_power_w,frame_power_mj,pixel_power_uj,total_energy_wh,peak_power_w,energy_per_frame_mj,energy_per_object_mj,fps_per_watt,objects_per_joule,yolo_efficiency,frame_latency_ms,capture_ms,preprocess_ms,yolo_ms,track_ms,render_ms,bottleneck_stage,fps,fps_stability_std,dropped_frames,cpu_pct,gpu_pct,ram_mb,gpu_mb,motion_detected,tracking_stability_pct
2026-06-08 22:03:40,1,rgb,0,—,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.31,23.63,78.35,0.01,0.0,16.89,preprocess,0.0,0.0,0,0.0,0.0,0.0,0.0,0,100.0
2026-06-08 22:03:44,3,rgb,1,person,0.348,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.31,1000.0,0.001,1465.52,15.89,29.11,1408.61,0.04,10.66,yolo,0.7,0.35,0,0.0,0.0,0.0,0.0,0,0.0
2026-06-08 22:03:46,28,rgb,1,person,0.512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2399.08,1000.0,0.006,193.14,9.5,6.99,163.22,4.37,8.6,yolo,24.0,6.32,0,0.0,0.0,0.0,0.0,1,100.0
2026-06-08 22:03:47,51,rgb,1,person|cat,0.525,0,45.0,16.2,61.2,7540.452,24.5457,0.055537,61.2,7540.452,7540.452,0.38,0.1,0.011,123.21,10.0,5.75,94.96,3.51,8.6,yolo,23.5,0.1,0,100.0,27.0,1130.2,141.0,1,0.0
2026-06-08 22:03:48,80,rgb,1,cat|scissors|person,0.495,0,10.98,16.2,27.18,1004.573,3.2701,0.078802,61.2,1004.573,1004.573,1.05,1.0,0.081,36.96,9.94,4.22,12.32,1.86,8.33,yolo,28.7,0.95,0,24.4,27.0,1130.3,141.0,1,0.0
2026-06-08 22:03:49,108,rgb,1,vase|person|horse,0.518,0,10.35,16.2,26.55,880.664,2.8667,0.085914,61.2,880.664,880.664,1.02,1.1,0.09,33.17,9.34,4.2,11.12,0.06,8.17,yolo,27.0,0.32,0,23.0,27.0,1130.3,141.0,1,0.0
2026-06-08 22:03:50,137,rgb,0,person|horse,0.535,0,9.99,15.6,25.59,849.076,2.7639,0.092842,61.2,849.076,849.076,1.12,0.0,0.0,33.18,10.18,4.17,10.33,0.06,8.15,yolo,28.7,0.31,0,22.2,26.0,1130.3,141.0,1,100.0
2026-06-08 22:03:51,165,rgb,2,person|person|scissors,0.559,0,11.84,3.0,14.84,492.836,1.6043,0.097867,61.2,492.836,246.418,1.82,4.1,0.214,33.21,10.71,4.42,9.34,0.08,8.33,capture,27.0,0.32,0,26.3,5.0,1130.3,141.0,1,100.0
2026-06-08 22:03:52,195,rgb,1,person|person|scissors,0.648,0,12.55,3.0,15.55,510.351,1.6613,0.102053,61.2,510.351,510.351,1.87,2.0,0.119,32.82,11.48,4.38,8.41,0.11,8.11,capture,29.0,0.36,0,27.9,5.0,1130.3,141.0,1,100.0
2026-06-08 22:03:53,223,rgb,1,person,0.747,0,10.21,3.0,13.21,434.213,1.4135,0.105721,61.2,434.213,434.213,2.12,2.3,0.125,32.87,12.93,3.99,7.99,0.12,7.55,capture,28.0,0.19,0,22.7,5.0,1130.3,141.0,1,100.0
2026-06-08 22:03:54,252,rgb,1,person,0.844,0,10.21,13.2,23.41,788.917,2.5681,0.110498,61.2,788.917,788.917,1.17,1.3,0.112,33.7,13.19,3.96,8.92,0.1,7.22,capture,27.4,0.11,0,22.7,22.0,1130.3,141.0,1,100.0
2026-06-08 22:03:55,281,rgb,1,person,0.921,0,10.26,13.8,24.06,807.454,2.6284,0.116921,61.2,807.454,807.454,1.19,1.2,0.1,33.56,12.2,3.92,9.96,0.1,7.07,capture,28.7,0.24,0,22.8,23.0,1131.2,141.0,1,100.0
2026-06-08 22:03:56,303,rgb,1,person,0.93,0,9.0,15.6,24.6,901.836,2.9357,0.12206,61.2,901.836,901.836,0.87,1.1,0.079,36.66,12.76,3.84,12.58,0.1,7.06,capture,21.3,1.54,0,20.0,26.0,1131.2,141.0,1,100.0
2026-06-08 22:03:57,327,rgb,1,person,0.93,0,9.0,15.6,24.6,986.706,3.2119,0.128344,61.2,986.706,986.706,0.96,1.0,0.067,40.11,13.79,3.88,15.01,0.09,7.04,yolo,23.7,0.48,0,20.0,26.0,1131.2,141.0,1,100.0
2026-06-08 22:03:58,357,rgb,1,person,0.931,0,7.11,13.8,20.91,786.216,2.5593,0.135291,61.2,786.216,786.216,1.38,1.3,0.076,37.6,12.89,3.94,13.21,0.08,7.16,yolo,28.8,0.92,0,15.8,23.0,1131.2,141.0,1,100.0
2026-06-08 22:03:59,384,rgb,1,person,0.935,0,10.8,13.8,24.6,857.064,2.7899,0.141826,61.2,857.064,857.064,1.03,1.2,0.089,34.84,12.17,3.81,11.25,0.09,7.21,capture,25.2,0.68,0,24.0,23.0,1131.2,141.0,1,100.0
2026-06-08 22:04:00,407,rgb,1,person,0.937,0,9.45,15.6,25.05,969.184,3.1549,0.147676,61.2,969.184,969.184,0.9,1.0,0.072,38.69,13.41,3.73,13.92,0.09,7.23,yolo,22.5,0.55,0,21.0,26.0,1131.2,141.0,1,100.0
2026-06-08 22:04:01,429,rgb,1,person,0.937,0,8.41,13.2,21.61,919.722,2.9939,0.153514,61.2,919.722,919.722,0.96,1.1,0.059,42.56,14.35,3.66,16.87,0.09,7.24,yolo,20.8,0.35,0,18.7,22.0,1131.2,141.0,1,100.0
2026-06-08 22:04:02,450,rgb,1,person,0.933,0,8.28,19.2,27.48,1204.448,3.9207,0.159084,61.2,1204.448,1204.448,0.76,0.8,0.057,43.83,15.11,3.7,17.42,0.09,7.13,yolo,20.8,0.0,0,18.4,32.0,1131.2,141.0,1,100.0
2026-06-08 22:04:03,474,rgb,1,person,0.93,0,8.28,19.2,27.48,1186.312,3.8617,0.16703,61.2,1186.312,1186.312,0.79,0.8,0.057,43.17,14.42,3.79,17.43,0.08,7.07,yolo,21.6,0.0,0,18.4,32.0,1131.2,141.0,1,100.0
2026-06-08 22:04:04,497,rgb,1,person,0.928,0,8.41,16.8,25.21,1087.055,3.5386,0.174116,61.2,1087.055,1087.055,0.87,0.9,0.057,43.12,14.19,3.79,17.56,0.09,7.13,yolo,21.8,0.37,0,18.7,28.000000000000004,1131.2,141.0,1,100.0
2026-06-08 22:04:05,521,rgb,1,person,0.93,0,8.37,27.6,35.97,1513.618,4.9271,0.182791,61.2,1513.618,1513.618,0.66,0.7,0.058,42.08,13.58,3.73,17.22,0.09,7.11,yolo,23.8,0.4,0,18.6,46.0,1131.2,141.0,1,100.0
2026-06-08 22:04:06,549,rgb,1,person,0.937,0,8.32,13.2,21.52,791.29,2.5758,0.192289,61.2,791.29,791.29,1.11,1.3,0.074,36.77,12.2,3.74,13.49,0.09,6.9,yolo,23.8,0.0,0,18.5,22.0,1131.3,141.0,1,100.0
2026-06-08 22:04:07,576,rgb,1,person,0.941,0,9.95,13.8,23.75,816.763,2.6587,0.198062,61.2,816.763,816.763,1.07,1.2,0.089,34.39,12.15,3.71,11.26,0.09,6.87,capture,25.4,0.59,0,22.1,23.0,1131.3,141.0,1,100.0
2026-06-08 22:04:08,600,rgb,1,person,0.942,0,9.54,27.0,36.54,1411.906,4.596,0.203966,61.2,1411.906,1411.906,0.61,0.7,0.07,38.64,13.21,3.76,14.3,0.09,6.97,yolo,22.4,0.6,0,21.2,45.0,1131.3,141.0,1,100.0
2026-06-08 22:04:09,624,rgb,1,person,0.943,0,9.54,27.0,36.54,1574.874,5.1265,0.213918,61.2,1574.874,1574.874,0.61,0.6,0.058,43.1,14.64,3.86,17.31,0.09,6.91,yolo,22.4,0.0,0,21.2,45.0,1131.3,141.0,1,100.0
2026-06-08 22:04:10,647,rgb,1,person,0.939,0,8.15,19.2,27.34,1199.132,3.9034,0.222118,61.2,1199.132,1199.132,0.76,0.8,0.057,43.86,15.2,3.81,17.56,0.09,6.89,yolo,20.8,0.54,0,18.1,32.0,1131.2,141.0,1,100.0
2026-06-08 22:04:11,672,rgb,1,person,0.938,0,9.5,13.2,22.7,929.565,3.0259,0.229577,61.2,929.565,929.565,1.1,1.1,0.063,40.95,13.95,3.76,15.88,0.09,6.96,yolo,24.9,1.33,0,21.1,22.0,1131.2,141.0,1,100.0
2026-06-08 22:04:12,701,rgb,2,person|cell phone|person|person|horse,0.918,0,9.99,13.8,23.79,864.291,2.8134,0.236764,61.2,864.291,432.146,1.15,2.3,0.158,36.33,12.4,3.75,12.62,0.1,7.16,yolo,27.3,0.73,0,22.2,23.0,1131.3,141.0,1,50.0
2026-06-08 22:04:13,726,rgb,1,person|cell phone|person,0.888,0,9.09,14.4,23.49,841.882,2.7405,0.242503,61.2,841.882,841.882,1.1,1.2,0.083,35.84,12.55,3.68,12.07,0.11,7.13,capture,25.7,0.43,0,20.2,24.0,1131.3,141.0,1,100.0
2026-06-08 22:04:14,750,depth,1,person,0.876,0.66,8.78,16.8,25.58,1040.339,3.3865,0.24849,61.2,1040.339,1040.339,0.83,1.0,0.065,40.67,13.41,4.47,15.35,0.11,7.06,yolo,21.3,1.64,0,19.5,28.000000000000004,1140.1,141.0,1,100.0
2026-06-08 22:04:16,774,depth,1,person,0.876,0.66,8.78,16.8,25.58,1140.356,3.7121,0.255778,61.2,1140.356,1140.356,0.81,0.9,0.056,44.58,12.36,7.16,17.87,0.11,6.83,yolo,20.8,0.23,0,19.5,28.000000000000004,1140.1,141.0,1,100.0
2026-06-08 22:04:17,801,depth,2,person|person|chair|dog|person,0.879,0.73,10.17,13.2,23.37,954.898,3.1084,0.263511,61.2,954.898,477.449,1.06,2.1,0.132,40.86,8.3,10.34,15.16,0.13,6.73,yolo,24.8,1.89,0,22.6,22.0,1142.2,141.0,1,50.0
2026-06-08 22:04:18,829,depth,1,person|dog|person,0.799,0.7,9.4,13.8,23.2,828.472,2.6968,0.270424,61.2,828.472,828.472,1.21,1.2,0.087,35.71,6.56,10.6,11.47,0.14,6.72,yolo,28.0,1.49,0,20.9,23.0,1142.2,141.0,1,100.0
2026-06-08 22:04:19,852,depth,2,person,0.733,0.7,10.08,18.6,28.68,1061.447,3.4552,0.276398,61.2,1061.447,530.723,0.83,1.9,0.154,37.01,6.41,10.5,12.98,0.15,6.74,yolo,23.8,1.93,0,22.4,31.0,1142.2,141.0,1,100.0
2026-06-08 22:04:20,875,depth,1,person|person|toothbrush,0.729,0.68,9.81,14.4,24.21,977.116,3.1807,0.283239,61.2,977.116,977.116,0.92,1.0,0.064,40.36,7.21,10.5,15.63,0.14,6.68,yolo,22.4,0.61,0,21.8,24.0,1142.2,141.0,1,100.0
2026-06-08 22:04:21,897,depth,1,person,0.782,0.62,9.81,14.4,24.21,1061.851,3.4565,0.289538,61.2,1061.851,1061.851,0.93,0.9,0.057,43.86,8.7,10.54,17.64,0.14,6.62,yolo,22.4,0.0,0,21.8,24.0,1142.2,141.0,1,100.0
2026-06-08 22:04:22,920,depth,1,person,0.832,0.59,10.57,21.0,31.57,1384.029,4.5053,0.298189,61.2,1384.029,1384.029,0.66,0.7,0.058,43.84,8.94,10.58,17.38,0.12,6.61,yolo,20.8,0.7,0,23.5,35.0,1142.2,141.0,1,100.0
2026-06-08 22:04:23,946,depth,1,person,0.906,0.57,9.4,10.8,20.2,812.04,2.6434,0.30551,61.2,812.04,812.04,1.28,1.2,0.071,40.2,7.87,11.03,14.09,0.12,6.87,yolo,25.9,2.15,0,20.9,18.0,1142.2,141.0,1,100.0
2026-06-08 22:04:24,973,depth,1,person,0.932,0.77,11.29,13.8,25.09,916.789,2.9843,0.31195,61.2,916.789,916.789,1.07,1.1,0.086,36.54,6.7,11.0,11.6,0.12,6.89,yolo,26.8,0.35,0,25.1,23.0,1142.1,141.0,1,100.0
2026-06-08 22:04:25,995,depth,1,person,0.882,1.05,11.25,27.6,38.85,1489.898,4.8499,0.31857,61.2,1489.898,1489.898,0.56,0.7,0.074,38.35,7.34,10.45,13.6,0.12,6.59,yolo,21.8,2.1,0,25.0,46.0,1142.2,141.0,1,100.0
2026-06-08 22:04:26,1017,depth,2,person|cell phone|person,0.848,1.05,11.25,27.6,38.85,1642.19,5.3457,0.328128,61.2,1642.19,821.095,0.57,1.2,0.122,42.27,8.81,10.28,16.44,0.12,6.39,yolo,22.1,0.12,0,25.0,46.0,1142.2,141.0,1,50.0
2026-06-08 22:04:27,1040,depth,2,person|cell phone|person,0.805,1.06,11.61,18.0,29.61,1296.326,4.2198,0.336558,61.2,1296.326,648.163,0.76,1.5,0.115,43.78,9.13,10.46,17.41,0.13,6.44,yolo,22.5,0.15,0,25.8,30.0,1142.2,141.0,1,100.0
2026-06-08 22:04:28,1062,depth,2,person|cell phone|person,0.785,1.05,9.22,25.2,34.42,1503.81,4.8952,0.345233,61.2,1503.81,751.905,0.6,1.3,0.116,43.69,9.2,10.35,17.22,0.13,6.6,yolo,20.8,0.66,0,20.5,42.0,1142.2,141.0,1,50.0
2026-06-08 22:04:29,1090,depth,2,person|cell phone|person|person|chair,0.762,1.02,9.0,13.8,22.8,899.916,2.9294,0.354916,61.2,899.916,449.958,1.16,2.2,0.142,39.47,8.13,10.35,14.04,0.13,6.61,yolo,26.5,2.18,0,20.0,23.0,1142.2,141.0,1,50.0
2026-06-08 22:04:30,1116,depth,1,person|person|chair,0.74,0.75,11.56,13.8,25.37,913.32,2.973,0.361214,61.2,913.32,913.32,1.06,1.1,0.085,36.0,6.63,10.52,11.78,0.13,6.73,yolo,26.8,0.11,0,25.7,23.0,1142.1,141.0,1,100.0
2026-06-08 22:04:31,1140,depth,1,person|person|chair,0.74,0.49,9.31,15.6,24.91,973.981,3.1705,0.367476,61.2,973.981,973.981,0.9,1.0,0.071,39.1,7.41,10.56,14.02,0.14,6.73,yolo,22.5,1.6,0,20.7,26.0,1142.1,141.0,1,100.0
2026-06-08 22:04:32,1169,depth,1,person|person|chair,0.749,0.5,9.31,15.6,24.91,991.169,3.2265,0.375439,61.2,991.169,991.169,1.04,1.0,0.069,39.79,7.65,10.48,14.59,0.13,6.69,yolo,26.0,1.5,0,20.7,26.0,1142.1,141.0,1,100.0
2026-06-08 22:04:33,1197,depth,2,person|cell phone|chair|person|person|chair|person|cell phone,0.761,0.53,10.4,13.8,24.2,848.21,2.7611,0.382533,61.2,848.21,424.105,1.12,2.4,0.18,35.05,6.23,10.52,11.13,0.14,6.79,yolo,27.2,0.52,0,23.1,23.0,1142.1,141.0,1,100.0
2026-06-08 22:04:34,1220,depth,2,person|cell phone|person|person|chair,0.695,0.54,10.21,13.8,24.02,889.701,2.8962,0.388004,61.2,889.701,444.851,0.97,2.2,0.155,37.04,6.23,10.63,12.87,0.15,6.93,yolo,23.3,1.71,0,22.7,23.0,1142.1,141.0,1,100.0
2026-06-08 22:04:35,1245,depth,1,person|person|chair,0.668,0.55,10.08,10.8,20.88,800.33,2.6052,0.393841,61.2,800.33,800.33,1.19,1.2,0.074,38.33,6.96,10.6,13.58,0.15,6.81,yolo,24.8,0.64,0,22.4,18.0,1142.0,141.0,1,100.0
2026-06-08 22:04:36,1273,depth,2,person|person|chair,0.712,0.54,10.08,13.8,23.88,867.083,2.8225,0.400418,61.2,867.083,433.541,1.16,2.3,0.173,36.31,7.01,10.65,11.57,0.14,6.71,yolo,27.6,1.07,0,22.4,23.0,1142.1,141.0,1,100.0
2026-06-08 22:04:37,1295,depth,2,person|chair,0.694,0.54,9.72,22.8,32.52,1220.476,3.9729,0.406285,61.2,1220.476,610.238,0.7,1.6,0.154,37.53,6.73,10.74,12.97,0.14,6.73,yolo,22.7,1.89,0,21.6,38.0,1142.1,141.0,1,100.0
2026-06-08 22:04:38,1317,depth,2,person|chair,0.661,0.54,9.72,22.8,32.52,1367.466,4.4514,0.414216,61.2,1367.466,683.733,0.65,1.5,0.121,42.05,7.64,10.76,16.54,0.18,6.71,yolo,21.3,0.54,0,21.6,38.0,1142.1,141.0,1,100.0
2026-06-08 22:04:39,1340,depth,1,person|person|chair,0.685,0.55,10.3,19.8,30.11,1333.572,4.3411,0.422612,61.2,1333.572,1333.572,0.75,0.7,0.054,44.29,8.02,10.69,18.54,0.16,6.65,yolo,22.6,0.49,0,22.9,33.0,1142.1,141.0,1,100.0
2026-06-08 22:04:40,1362,depth,1,person,0.732,0.55,9.45,25.2,34.65,1518.017,4.9415,0.431437,61.2,1518.017,1518.017,0.6,0.7,0.055,43.81,8.2,10.37,18.26,0.14,6.61,yolo,20.8,0.69,0,21.0,42.0,1142.0,141.0,1,100.0
2026-06-08 22:04:41,1386,depth,1,person|person|chair,0.77,0.55,10.08,26.4,36.48,1564.627,5.0932,0.44167,61.2,1564.627,1564.627,0.61,0.6,0.061,42.89,9.09,10.34,16.45,0.12,6.65,yolo,22.4,0.65,0,22.4,44.0,1142.1,141.0,1,100.0
2026-06-08 22:04:42,1415,depth,1,person,0.834,0.56,9.22,13.8,23.02,884.889,2.8805,0.452678,61.2,884.889,884.889,1.21,1.1,0.078,38.44,7.86,10.58,12.88,0.12,6.76,yolo,27.8,2.04,0,20.5,23.0,1142.1,141.0,1,100.0
2026-06-08 22:04:43,1440,depth,1,person|person|donut,0.862,0.56,9.9,15.0,24.9,910.095,2.9625,0.458551,61.2,910.095,910.095,1.02,1.1,0.084,36.55,6.82,10.71,11.89,0.12,6.76,yolo,25.4,0.88,0,22.0,25.0,1142.1,141.0,1,100.0
2026-06-08 22:04:44,1464,depth,2,person|person|remote,0.875,0.56,9.9,15.0,24.9,995.502,3.2406,0.46487,61.2,995.502,497.751,0.9,2.0,0.137,39.98,7.57,10.71,14.55,0.13,6.79,yolo,22.5,1.18,0,22.0,25.0,1142.1,141.0,1,50.0
2026-06-08 22:04:45,1491,depth,1,person|person|remote,0.854,0.56,9.99,10.8,20.79,821.205,2.6732,0.471385,61.2,821.205,821.205,1.19,1.2,0.071,39.5,7.6,10.66,14.05,0.12,6.82,yolo,24.8,1.01,0,22.2,18.0,1142.1,141.0,1,100.0
2026-06-08 22:04:46,1518,depth,1,person|person|remote,0.839,0.57,11.21,12.6,23.8,870.366,2.8332,0.477831,61.2,870.366,870.366,1.16,1.1,0.084,36.57,6.89,10.6,11.86,0.13,6.86,yolo,27.5,1.12,0,24.9,21.0,1142.1,141.0,1,100.0
2026-06-08 22:04:47,1541,depth,1,person,0.828,0.58,10.12,25.2,35.33,1364.091,4.4404,0.48497,61.2,1364.091,1364.091,0.62,0.7,0.071,38.61,6.88,10.57,14.04,0.13,6.76,yolo,21.8,2.62,0,22.5,42.0,1142.1,141.0,1,100.0
2026-06-08 22:04:48,1563,depth,1,person,0.842,0.59,9.09,24.6,33.69,1437.215,4.6784,0.493712,61.2,1437.215,1437.215,0.64,0.7,0.058,42.66,8.1,10.29,17.26,0.13,6.66,yolo,21.6,0.09,0,20.2,41.0,1142.1,141.0,1,100.0
2026-06-08 22:04:50,1587,depth,1,person|cat|person|donut|cat|person,0.81,0.59,9.09,24.6,33.69,1465.515,4.7706,0.503514,61.2,1465.515,1465.515,0.67,0.7,0.058,43.5,9.2,10.09,17.37,0.12,6.5,yolo,22.5,0.42,0,20.2,41.0,1142.1,141.0,1,100.0
2026-06-08 22:04:51,1614,depth,1,person|cell phone|person|dog|person,0.803,0.59,9.85,27.0,36.85,1458.523,4.7478,0.514974,61.2,1458.523,1458.523,0.65,0.7,0.072,39.58,8.63,10.15,13.9,0.14,6.54,yolo,24.1,0.77,0,21.9,45.0,1142.1,141.0,1,100.0
2026-06-08 22:04:52,1641,depth,1,person,0.8,0.59,10.53,13.2,23.73,869.23,2.8295,0.522411,61.2,869.23,869.23,1.21,1.2,0.085,36.63,7.52,10.41,11.71,0.14,6.63,yolo,28.6,2.05,0,23.4,22.0,1142.1,141.0,1,100.0
2026-06-08 22:04:53,1664,depth,1,person,0.848,0.59,10.75,14.4,25.15,976.072,3.1773,0.528348,61.2,976.072,976.072,0.83,1.0,0.072,38.81,7.63,10.32,13.91,0.12,6.61,yolo,20.9,3.76,0,23.9,24.0,1142.1,141.0,1,100.0
2026-06-08 22:04:54,1686,depth,1,person,0.862,0.58,10.75,21.6,32.35,1379.404,4.4902,0.535225,61.2,1379.404,1379.404,0.69,0.7,0.059,42.64,8.78,10.02,16.88,0.12,6.62,yolo,22.3,0.65,0,23.9,36.0,1142.1,141.0,1,100.0
2026-06-08 22:04:55,1710,depth,2,person|cell phone|person,0.86,0.57,10.8,12.0,22.8,954.864,3.1083,0.544439,61.2,954.864,477.432,1.0,2.1,0.125,41.88,9.06,9.93,15.96,0.14,6.56,yolo,22.8,0.23,0,24.0,20.0,1142.1,141.0,1,100.0
2026-06-08 22:04:56,1740,depth,2,person|cell phone,0.697,0.57,10.21,13.8,24.02,884.657,2.8797,0.551987,61.2,884.657,442.329,1.19,2.3,0.162,36.83,7.38,10.2,12.36,0.2,6.45,yolo,28.6,2.56,0,22.7,23.0,1142.1,141.0,1,100.0
2026-06-08 22:04:57,1764,depth,2,person|cell phone,0.668,0.54,10.21,13.8,24.02,887.059,2.8876,0.5578,61.2,887.059,443.529,0.98,2.3,0.157,36.93,7.23,10.09,12.7,0.21,6.48,yolo,23.6,2.27,0,22.7,23.0,1142.1,141.0,1,100.0
2026-06-08 22:04:58,1787,depth,2,person|cell phone,0.683,0.51,8.96,18.6,27.55,1109.714,3.6124,0.564413,61.2,1109.714,554.857,0.82,1.8,0.13,40.28,8.21,9.86,15.4,0.18,6.42,yolo,22.5,0.51,0,19.9,31.0,1142.1,141.0,1,100.0
2026-06-08 22:04:59,1811,depth,2,person|cell phone,0.681,0.48,9.27,27.0,36.27,1531.319,4.9848,0.573395,61.2,1531.319,765.659,0.58,1.3,0.119,42.22,9.19,9.51,16.74,0.17,6.36,yolo,21.2,0.63,0,20.6,45.0,1141.1,141.0,1,100.0
2026-06-08 22:05:00,1839,depth,2,person|cell phone,0.716,0.45,9.58,13.8,23.38,873.009,2.8418,0.583174,61.2,873.009,436.505,1.22,2.3,0.157,37.34,8.32,9.35,12.73,0.18,6.49,yolo,28.6,3.34,0,21.3,23.0,1141.1,141.0,1,100.0
2026-06-08 22:05:01,1865,depth,2,person|cell phone,0.74,0.45,9.5,24.0,33.5,1184.56,3.856,0.58977,61.2,1184.56,592.28,0.79,1.7,0.168,35.36,7.01,9.38,11.89,0.17,6.64,yolo,26.4,0.93,0,21.1,40.0,1141.1,141.0,1,100.0
2026-06-08 22:05:02,1887,depth,2,person|cell phone|person,0.72,0.47,9.5,24.0,33.5,1329.95,4.3293,0.597469,61.2,1329.95,664.975,0.67,1.5,0.134,39.7,8.42,9.29,14.93,0.17,6.62,yolo,22.5,1.63,0,21.1,40.0,1141.1,141.0,1,100.0
2026-06-08 22:05:03,1915,depth,2,person|cell phone,0.693,0.65,8.46,27.0,35.46,1401.734,4.5629,0.608418,61.2,1401.734,700.867,0.7,1.4,0.136,39.53,8.79,9.1,14.72,0.17,6.51,yolo,24.9,1.08,0,18.8,45.0,1141.1,141.0,1,100.0
2026-06-08 22:05:04,1943,depth,2,person|cell phone,0.692,1.04,8.78,13.8,22.58,792.332,2.5792,0.615515,61.2,792.332,396.166,1.27,2.5,0.175,35.09,7.59,9.11,11.44,0.18,6.52,yolo,28.6,1.6,0,19.5,23.0,1141.1,141.0,1,100.0
2026-06-08 22:05:05,1965,depth,2,person|cell phone,0.705,1.41,9.04,25.2,34.24,1284.342,4.1808,0.622313,61.2,1284.342,642.171,0.67,1.6,0.148,37.51,7.75,9.17,13.55,0.18,6.6,yolo,22.8,2.58,0,20.1,42.0,1141.1,141.0,1,100.0
2026-06-08 22:05:06,1989,depth,2,person|cell phone,0.725,1.7,8.78,13.2,21.98,876.782,2.8541,0.629915,61.2,876.782,438.391,0.99,2.3,0.13,39.89,8.23,9.2,15.44,0.18,6.57,yolo,21.7,0.52,0,19.5,22.0,1141.1,141.0,1,100.0
2026-06-08 22:05:07,2018,depth,2,person|cell phone,0.713,1.99,11.56,13.8,25.37,955.688,3.111,0.637173,61.2,955.688,477.844,1.1,2.1,0.151,37.67,8.02,9.36,13.24,0.18,6.59,yolo,27.9,2.77,0,25.7,23.0,1141.1,141.0,1,100.0
2026-06-08 22:05:08,2043,depth,2,person|cell phone,0.714,2.11,9.72,27.0,36.72,1292.544,4.2075,0.643876,61.2,1292.544,646.272,0.73,1.5,0.167,35.2,6.89,9.33,11.95,0.17,6.56,yolo,26.7,0.44,0,21.6,45.0,1141.1,141.0,1,100.0
