timestamp,frame_num,mode,obj_count,obj_classes,avg_confidence,avg_depth_m,cpu_power_w,gpu_power_w,inst_power_w,frame_power_mj,pixel_power_uj,total_energy_wh,peak_power_w,energy_per_frame_mj,energy_per_object_mj,fps_per_watt,objects_per_joule,yolo_efficiency,frame_latency_ms,capture_ms,preprocess_ms,yolo_ms,track_ms,render_ms,bottleneck_stage,fps,fps_stability_std,dropped_frames,cpu_pct,gpu_pct,ram_mb,gpu_mb,motion_detected,tracking_stability_pct
2026-06-09 10:26:26,1,rgb,0,—,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,27.28,3.97,0.0,0.0,5.35,capture,0.0,0.0,0,0.0,0.0,0.0,0.0,0,100.0
2026-06-09 10:26:27,9,rgb,1,dog,0.754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.3,1000.0,0.011,117.66,19.96,3.3,88.79,0.06,5.36,yolo,8.5,2.81,0,0.0,0.0,0.0,0.0,1,100.0
2026-06-09 10:26:28,39,rgb,1,dog,0.717,0,0.0,3.0,3.0,156.84,0.5105,0.000455,3.0,156.84,156.84,9.51,6.4,0.039,52.28,15.66,3.45,25.96,0.1,6.86,yolo,28.5,3.59,0,0.0,5.0,1156.1,164.0,1,100.0
2026-06-09 10:26:29,69,rgb,1,dog,0.665,0,6.84,3.0,9.84,332.395,1.082,0.002255,9.84,332.395,332.395,2.74,3.0,0.133,33.78,15.07,3.58,7.51,0.11,7.23,capture,27.0,0.27,0,15.2,5.0,1157.0,164.0,1,100.0
2026-06-09 10:26:30,92,rgb,2,dog|dog|person,0.605,0,32.27,3.0,35.27,1300.758,4.2342,0.005237,35.27,1300.758,650.379,0.65,1.5,0.206,36.88,13.74,4.44,9.7,0.16,8.54,capture,23.0,0.82,0,71.7,5.0,1157.0,164.0,1,100.0
2026-06-09 10:26:31,120,rgb,2,dog|dog|person|dog|sink,0.525,0,14.18,3.0,17.18,631.193,2.0547,0.015144,35.27,631.193,315.596,1.34,3.2,0.191,36.74,11.71,4.83,10.46,0.18,9.25,capture,23.0,0.0,0,31.5,5.0,1157.0,164.0,1,100.0
2026-06-09 10:26:32,150,rgb,2,dog|dog|person,0.504,0,6.93,3.0,9.93,327.988,1.0677,0.020141,35.27,327.988,163.994,2.84,6.1,0.227,33.03,11.21,4.24,8.81,0.14,8.35,capture,28.2,0.0,0,15.4,5.0,1157.0,164.0,1,100.0
2026-06-09 10:26:33,180,rgb,2,dog,0.533,0,8.64,12.0,20.64,689.789,2.2454,0.022996,35.27,689.789,344.894,1.34,2.9,0.222,33.42,11.69,4.1,9.02,0.13,8.2,capture,27.7,0.0,0,19.2,20.0,1157.0,164.0,1,50.0
2026-06-09 10:26:35,210,rgb,2,dog,0.532,0,11.56,15.0,26.56,907.555,2.9543,0.028882,35.27,907.555,453.777,1.05,2.2,0.199,34.17,11.22,4.31,10.05,0.13,8.18,capture,27.9,0.04,0,25.7,25.0,1157.6,164.0,1,50.0
2026-06-09 10:26:36,239,rgb,2,dog|dog|sink,0.546,0,11.56,15.0,26.56,934.646,3.0425,0.036233,35.27,934.646,467.323,0.99,2.1,0.166,35.19,10.09,4.37,12.05,0.14,8.26,yolo,26.3,0.49,0,25.7,25.0,1157.6,164.0,1,50.0
2026-06-09 10:26:37,258,rgb,2,dog,0.549,0,16.56,20.4,36.96,1473.965,4.7981,0.043554,36.96,1473.965,736.982,0.54,1.4,0.133,39.88,9.89,5.25,15.05,0.15,9.21,yolo,19.9,1.96,0,36.8,34.0,1157.6,164.0,0,100.0
2026-06-09 10:26:38,279,rgb,2,dog,0.551,0,37.62,25.2,62.82,2751.516,8.9568,0.055658,62.82,2751.516,1375.758,0.3,0.7,0.114,43.8,11.18,5.49,17.49,0.16,9.12,yolo,18.8,0.43,0,83.6,42.0,1157.6,164.0,0,50.0
2026-06-09 10:26:39,303,rgb,1,dog,0.557,0,16.74,13.2,29.94,1335.623,4.3477,0.072819,62.82,1335.623,1335.623,0.8,0.7,0.057,44.61,12.36,5.26,17.63,0.15,8.87,yolo,23.8,1.86,0,37.2,22.0,1157.6,164.0,1,100.0
2026-06-09 10:26:40,330,rgb,1,dog,0.55,0,22.27,12.0,34.27,1309.114,4.2614,0.08208,62.82,1309.114,1309.114,0.78,0.8,0.072,38.2,11.04,4.26,13.92,0.15,8.55,yolo,26.6,0.99,0,49.5,20.0,1157.6,164.0,1,100.0
2026-06-09 10:26:41,357,rgb,1,dog,0.544,0,22.27,12.0,34.27,1236.804,4.0261,0.091489,62.82,1236.804,1236.804,0.74,0.8,0.081,36.09,10.0,4.41,12.33,0.17,8.89,yolo,25.2,0.5,0,49.5,20.0,1157.6,164.0,1,100.0
2026-06-09 10:26:42,378,rgb,2,dog|dog|person,0.528,0,8.82,25.8,34.62,1361.605,4.4323,0.099083,62.82,1361.605,680.803,0.6,1.5,0.135,39.33,11.49,4.28,14.78,0.15,8.34,yolo,20.9,1.69,0,19.6,43.0,1157.6,164.0,1,50.0
2026-06-09 10:26:43,401,rgb,2,dog,0.488,0,9.18,27.0,36.18,1544.886,5.0289,0.108429,62.82,1544.886,772.443,0.58,1.3,0.119,42.7,13.12,4.21,16.75,0.14,8.2,yolo,20.9,0.0,0,20.4,45.0,1157.6,164.0,1,50.0
2026-06-09 10:26:44,429,rgb,2,dog|dog|person,0.47,0,7.65,13.2,20.85,805.852,2.6232,0.118292,62.82,805.852,402.926,1.34,2.5,0.147,38.65,12.43,4.11,13.56,0.14,8.14,yolo,27.9,2.87,0,17.0,22.0,1157.6,164.0,1,100.0
2026-06-09 10:26:45,455,rgb,2,dog|dog|person|handbag,0.469,0,9.0,13.8,22.8,804.384,2.6184,0.1239,62.82,804.384,402.192,1.15,2.5,0.174,35.28,11.31,4.09,11.49,0.14,7.99,yolo,26.2,0.67,0,20.0,23.0,1157.6,164.0,1,100.0
2026-06-09 10:26:46,471,rgb,1,dog|dog|person|dog|sink,0.481,0,9.0,13.8,22.8,956.46,3.1135,0.127689,62.82,956.46,956.46,0.82,1.0,0.066,41.95,12.02,4.88,15.25,0.18,9.3,yolo,18.6,2.51,0,20.0,23.0,1157.6,164.0,1,100.0
