timestamp,frame_num,mode,obj_count,obj_classes,avg_confidence,avg_depth_m,cpu_power_w,gpu_power_w,inst_power_w,frame_power_mj,pixel_power_uj,total_energy_wh,peak_power_w,energy_per_frame_mj,energy_per_object_mj,fps_per_watt,objects_per_joule,yolo_efficiency,frame_latency_ms,capture_ms,preprocess_ms,yolo_ms,track_ms,render_ms,bottleneck_stage,fps,fps_stability_std,dropped_frames,cpu_pct,gpu_pct,ram_mb,gpu_mb,motion_detected,tracking_stability_pct
2026-05-19 11:26:22,1,rgb,0,—,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.43,27.97,4.8,0.0,0.0,9.41,capture,0.0,0.0,0,0.0,0.0,0.0,0.0,0,100.0
2026-05-19 11:26:23,21,rgb,3,person|keyboard|potted plant|umbrella|person|potted plant|person|potted plant|umbrella,0.421,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.72,3000.0,0.104,52.0,11.43,3.78,28.85,0.24,7.52,yolo,19.0,6.78,0,0.0,0.0,0.0,0.0,0,100.0
2026-05-19 11:26:24,51,rgb,5,person|potted plant|person|potted plant|umbrella,0.447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2742.13,5000.0,0.238,40.96,9.8,3.24,21.0,0.2,6.56,yolo,27.4,2.86,0,0.0,0.0,426.2,19.0,1,80.0
2026-05-19 11:26:25,78,rgb,3,person|potted plant|umbrella|person|umbrella,0.474,0,31.41,0.0,31.41,1090.869,3.551,0.005948,31.41,1090.869,363.623,0.83,2.8,0.194,34.73,9.17,2.86,15.46,0.19,6.86,yolo,26.0,0.5,0,69.8,0.0,426.4,19.0,1,66.7
2026-05-19 11:26:26,107,rgb,4,person|potted plant|umbrella|person|umbrella|person|keyboard|laptop|potted plant|umbrella|person|laptop|potted plant|person|laptop|umbrella,0.447,0,31.05,0.0,31.05,1085.508,3.5336,0.014689,31.41,1085.508,271.377,0.93,3.7,0.263,34.96,9.64,2.85,15.21,0.21,6.83,yolo,28.9,1.0,0,69.0,0.0,426.4,19.0,1,100.0
2026-05-19 11:26:27,124,rgb,2,person|potted plant|person|potted plant|umbrella|person|laptop|person,0.431,0,36.63,0.0,36.63,1480.951,4.8208,0.020625,36.63,1480.951,740.476,0.48,1.4,0.102,40.43,9.14,3.46,19.52,0.24,7.82,yolo,17.5,3.67,0,81.4,0.0,427.7,19.0,1,100.0
2026-05-19 11:26:28,147,rgb,5,person|potted plant|person|person|potted plant|umbrella|person|potted plant|car|umbrella,0.442,0,36.63,0.0,36.63,1607.691,5.2334,0.030442,36.63,1607.691,321.538,0.63,3.1,0.215,43.89,7.92,4.04,23.31,0.29,8.05,yolo,22.9,1.52,0,81.4,0.0,427.7,19.0,1,100.0
2026-05-19 11:26:30,168,rgb,3,person|potted plant|person|person|laptop|person|laptop|potted plant|person|potted plant|car|umbrella,0.433,0,35.14,0.0,35.14,1629.442,5.3042,0.039865,36.63,1629.442,543.147,0.52,1.8,0.119,46.37,6.74,4.61,25.17,0.33,9.23,yolo,18.3,1.81,0,78.1,0.0,427.8,19.0,1,100.0
2026-05-19 11:26:31,189,rgb,4,person|potted plant|person|potted plant|umbrella|person|laptop|potted plant,0.422,0,34.24,0.0,34.24,1523.338,4.9588,0.049054,36.63,1523.338,380.834,0.61,2.6,0.164,44.49,5.93,4.47,24.43,0.32,9.07,yolo,20.7,0.94,0,76.1,0.0,428.3,19.0,1,75.0
2026-05-19 11:26:32,210,rgb,4,person|potted plant|person|potted plant|umbrella,0.427,0,38.79,0.0,38.79,1753.696,5.7086,0.058036,38.79,1753.696,438.424,0.56,2.3,0.162,45.21,6.44,4.46,24.67,0.32,9.05,yolo,21.7,0.21,0,86.2,0.0,428.3,19.0,1,100.0
